"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","activity_type","activity_description","activity_datetime","officer_rowid","attachment_url"
"49093000000167078","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157261","Evidence Collection","Molestias consectetur sit eum quibusdam illum vero amet.","2025-11-22 07:39:32","49093000000157173","https://crimesight.ai/activity/191781"
"49093000000167079","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157262","Document Verification","Fugiat aliquam blanditiis provident doloremque neque eaque numquam.","2025-11-03 14:38:09","49093000000157145","https://crimesight.ai/activity/821831"
"49093000000167080","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157262","Evidence Collection","Quidem vero nisi eveniet eum est rem expedita labore beatae blanditiis.","2026-05-27 13:41:26","49093000000157062","https://crimesight.ai/activity/797549"
"49093000000167081","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157262","Search Operation","Nam adipisci facere tenetur omnis praesentium enim quisquam qui voluptates omnis voluptate ipsa incidunt.","2025-01-06 17:26:43","49093000000157142","https://crimesight.ai/activity/710775"
"49093000000167082","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157262","Evidence Collection","Sunt inventore placeat totam assumenda cum eveniet optio alias voluptates repellendus ut.","2025-10-28 16:06:21","49093000000157131","https://crimesight.ai/activity/494907"
"49093000000167083","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157263","Forensic Examination","Temporibus officia nobis recusandae iusto dignissimos saepe at vitae.","2026-01-04 14:12:03","49093000000157086","https://crimesight.ai/activity/542225"
"49093000000167084","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157263","Suspect Interrogation","Temporibus iure itaque unde dolores velit dolores.","2024-11-24 13:14:27","49093000000157088","https://crimesight.ai/activity/829237"
"49093000000167085","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157263","Witness Examination","Voluptate consequuntur repellat vitae id voluptatem eligendi voluptatibus laudantium illo.","2025-01-13 23:46:28","49093000000157114","https://crimesight.ai/activity/637789"
"49093000000167086","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157263","Evidence Collection","Harum magnam nobis cupiditate molestias corporis quae deleniti consequatur ullam harum aliquam perferendis maiores quos eos.","2025-06-11 17:38:51","49093000000157030","https://crimesight.ai/activity/336412"
"49093000000167087","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157264","Search Operation","Ipsa provident minima error eveniet accusamus vel inventore voluptatem eveniet facilis.","2025-04-02 06:05:08","49093000000157195","https://crimesight.ai/activity/411542"
"49093000000167088","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157264","Witness Examination","Nemo laborum vel suscipit fugit eaque dolorem doloribus ipsum voluptates accusamus animi.","2026-02-05 19:22:46","49093000000157078","https://crimesight.ai/activity/959457"
"49093000000167089","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157265","CCTV Analysis","Fuga reiciendis iusto commodi quibusdam dolor ipsum laborum vitae beatae accusantium.","2026-03-05 03:20:21","49093000000157214","https://crimesight.ai/activity/806531"
"49093000000167090","49093000000013007","2026-06-28 13:44:59:261","2026-06-28 13:44:59:261","49093000000157265","Document Verification","Quisquam vero iusto ipsa dolorum est molestias soluta laborum.","2024-07-08 04:23:34","49093000000157040","https://crimesight.ai/activity/402662"
"49093000000167091","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157265","Search Operation","Quas dolores voluptas nemo ea id debitis minus sequi quo ullam soluta.","2024-12-03 20:02:01","49093000000157136","https://crimesight.ai/activity/558649"
"49093000000167092","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157265","Crime Scene Visit","Magni quaerat cumque maiores ex ratione accusamus vel consequatur ipsa repellendus expedita sed ut.","2025-01-24 05:41:32","49093000000157136","https://crimesight.ai/activity/910868"
"49093000000167093","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157266","Document Verification","Reiciendis repellat omnis ad dolor tempore fugit alias delectus distinctio.","2025-04-22 22:17:27","49093000000157085","https://crimesight.ai/activity/803092"
"49093000000167094","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157266","Document Verification","Ducimus dolore minima debitis vel nisi aspernatur aliquid officia.","2025-04-03 11:30:42","49093000000157043","https://crimesight.ai/activity/196221"
"49093000000167095","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157266","CCTV Analysis","Assumenda id est odit illum dolorum totam natus quidem minima dolores nulla eos est maiores.","2025-03-18 21:21:59","49093000000157039","https://crimesight.ai/activity/778460"
"49093000000167096","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157267","CCTV Analysis","Nihil autem excepturi quis ipsam a rem.","2025-04-05 04:23:08","49093000000157094","https://crimesight.ai/activity/641145"
"49093000000167097","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157267","Victim Statement","Perspiciatis atque quisquam voluptas similique ducimus deserunt molestiae voluptatem necessitatibus at.","2025-02-03 01:16:18","49093000000157165","https://crimesight.ai/activity/572801"
"49093000000167098","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157268","Crime Scene Visit","Corporis aliquid earum sunt maxime voluptatem quidem minima impedit magnam rerum earum laudantium.","2024-12-07 00:39:21","49093000000157044","https://crimesight.ai/activity/857237"
"49093000000167099","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157268","Crime Scene Visit","Facere rerum facilis nihil placeat dolores iste perferendis deleniti eveniet.","2024-07-02 14:18:27","49093000000157114","https://crimesight.ai/activity/141845"
"49093000000167100","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157268","Case Review","Asperiores voluptatum ipsa doloribus suscipit voluptatem iusto asperiores tenetur fuga dolores.","2025-08-02 23:58:21","49093000000157046","https://crimesight.ai/activity/907559"
"49093000000167101","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157268","Witness Examination","Deleniti recusandae praesentium assumenda hic necessitatibus deserunt sequi perferendis.","2026-02-10 06:16:11","49093000000157210","https://crimesight.ai/activity/168380"
"49093000000167102","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157269","Search Operation","Excepturi vitae eum a laborum nostrum suscipit cupiditate totam architecto sequi architecto atque non vitae expedita.","2025-06-07 18:47:54","49093000000157201","https://crimesight.ai/activity/820994"
"49093000000167103","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157269","Victim Statement","Maxime perspiciatis nobis minima deserunt illo debitis natus culpa assumenda corrupti necessitatibus maiores odio quos aspernatur.","2025-12-30 02:16:50","49093000000157172","https://crimesight.ai/activity/919305"
"49093000000167104","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157269","Victim Statement","Dicta pariatur a soluta minus repellat neque inventore.","2026-04-08 21:55:55","49093000000157173","https://crimesight.ai/activity/630821"
"49093000000167105","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157269","Victim Statement","Est at ea suscipit quo officia impedit eos inventore repellendus nihil nam.","2025-10-25 10:52:01","49093000000157111","https://crimesight.ai/activity/519246"
"49093000000167106","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157270","Crime Scene Visit","Molestiae officia doloribus labore corporis veniam ad sed nobis ex cupiditate eveniet.","2025-08-12 01:52:06","49093000000157115","https://crimesight.ai/activity/172570"
"49093000000167107","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157270","Victim Statement","Modi quisquam nemo nisi sunt labore recusandae officiis et dolorem sapiente non at architecto.","2024-10-17 02:43:59","49093000000157142","https://crimesight.ai/activity/398152"
"49093000000167108","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157270","Witness Examination","Vitae debitis voluptates ipsam tenetur aliquam animi sed placeat corporis necessitatibus iste blanditiis nesciunt neque.","2025-06-24 20:47:29","49093000000157171","https://crimesight.ai/activity/844923"
"49093000000167109","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157270","Search Operation","Similique quia dolore maiores tenetur voluptatibus vitae consequatur fuga.","2025-06-01 13:10:16","49093000000157045","https://crimesight.ai/activity/855568"
"49093000000167110","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157271","Victim Statement","Consequuntur quisquam laboriosam nulla dolore illo ut consequuntur porro hic eaque reprehenderit consectetur.","2025-06-24 20:25:05","49093000000157057","https://crimesight.ai/activity/716914"
"49093000000167111","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157271","Evidence Collection","Sint suscipit dignissimos odit blanditiis minus facere quia.","2026-01-28 05:10:06","49093000000157035","https://crimesight.ai/activity/839690"
"49093000000167112","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157272","Witness Examination","Dolorum excepturi voluptatibus veniam quasi facilis esse quo iure dolorem soluta.","2025-01-21 15:22:11","49093000000157147","https://crimesight.ai/activity/115350"
"49093000000167113","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157272","Crime Scene Visit","Hic tenetur itaque iusto rerum fugiat ut nam nam ex iusto nisi magnam ipsam eveniet.","2026-04-22 09:50:27","49093000000157153","https://crimesight.ai/activity/546460"
"49093000000167114","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157272","Witness Examination","Quam tempore ad autem totam quo nobis cum illum beatae.","2025-03-04 08:20:37","49093000000157079","https://crimesight.ai/activity/433397"
"49093000000167115","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157272","Crime Scene Visit","Molestiae magnam odio aut similique voluptate ullam nostrum.","2024-08-02 00:42:31","49093000000157031","https://crimesight.ai/activity/382280"
"49093000000167116","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157272","Victim Statement","Illum ad earum quos eaque accusantium minus ut.","2025-10-03 14:53:59","49093000000157134","https://crimesight.ai/activity/121422"
"49093000000167117","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157273","Victim Statement","Sequi accusantium at consequuntur vel tempora nobis.","2026-04-30 07:46:11","49093000000157036","https://crimesight.ai/activity/129271"
"49093000000167118","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157273","Victim Statement","Praesentium quisquam ipsa ducimus maiores delectus quaerat.","2024-07-10 20:08:47","49093000000157108","https://crimesight.ai/activity/738778"
"49093000000167119","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157274","Crime Scene Visit","Perspiciatis hic assumenda adipisci reiciendis esse explicabo numquam cupiditate sint.","2025-01-16 20:01:06","49093000000157190","https://crimesight.ai/activity/558608"
"49093000000167120","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157274","Document Verification","Optio nesciunt nesciunt quia voluptates numquam modi similique itaque cum sequi eligendi architecto eveniet.","2025-12-13 10:14:35","49093000000157126","https://crimesight.ai/activity/715128"
"49093000000167121","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157275","Crime Scene Visit","A ratione provident commodi dolorum ad libero maxime explicabo ratione tempora.","2024-07-31 17:51:23","49093000000157058","https://crimesight.ai/activity/785923"
"49093000000167122","49093000000013007","2026-06-28 13:44:59:262","2026-06-28 13:44:59:262","49093000000157275","Document Verification","Iusto laboriosam enim voluptate repellat ut sunt iste aut.","2026-06-02 04:53:08","49093000000157101","https://crimesight.ai/activity/877755"
"49093000000167123","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157275","Document Verification","Expedita alias ut deleniti vitae occaecati ab ratione fugit similique accusantium perferendis.","2025-08-30 12:35:35","49093000000157171","https://crimesight.ai/activity/199584"
"49093000000167124","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157275","Search Operation","Facere ipsa distinctio eveniet maxime placeat voluptas molestiae inventore officia temporibus molestiae fuga dignissimos officia blanditiis.","2025-09-06 13:34:00","49093000000157066","https://crimesight.ai/activity/733538"
"49093000000167125","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157275","Crime Scene Visit","Tempora repellat mollitia alias quibusdam incidunt voluptatem labore assumenda temporibus odio vitae.","2025-03-30 17:34:49","49093000000157170","https://crimesight.ai/activity/642434"
"49093000000167126","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157276","CCTV Analysis","Nostrum laboriosam itaque corporis repellat earum quo mollitia sed quia totam.","2026-03-01 19:24:24","49093000000157211","https://crimesight.ai/activity/292523"
"49093000000167127","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157276","Evidence Collection","Quis nulla dolor esse ea id assumenda a.","2025-07-14 11:16:28","49093000000157179","https://crimesight.ai/activity/331884"
"49093000000167128","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157276","Document Verification","Itaque itaque culpa voluptate facilis iste fuga explicabo animi quo quasi natus sequi.","2026-05-07 23:45:21","49093000000157117","https://crimesight.ai/activity/791744"
"49093000000167129","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157277","Case Review","Vel provident tempora veniam quisquam commodi aliquid ducimus quos porro quisquam.","2026-04-10 16:00:26","49093000000157147","https://crimesight.ai/activity/460184"
"49093000000167130","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157277","Evidence Collection","Praesentium eligendi labore perspiciatis quaerat iure molestiae vel nobis earum porro iste natus.","2024-11-21 00:45:13","49093000000157154","https://crimesight.ai/activity/971003"
"49093000000167131","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157277","Forensic Examination","Accusantium quod temporibus nemo ipsa sunt repellat ducimus.","2024-07-16 08:39:26","49093000000157100","https://crimesight.ai/activity/735375"
"49093000000167132","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157277","Crime Scene Visit","Dignissimos nobis impedit ipsam soluta aspernatur velit dolorum odit eaque quibusdam inventore recusandae labore ullam inventore.","2026-04-29 04:25:43","49093000000157165","https://crimesight.ai/activity/495509"
"49093000000167133","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157278","CCTV Analysis","Asperiores delectus accusantium harum incidunt aut nam dolor fuga eveniet eaque hic sequi et occaecati.","2025-11-13 14:14:42","49093000000157126","https://crimesight.ai/activity/938120"
"49093000000167134","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157278","Search Operation","Dolorum qui nam reiciendis natus error eaque recusandae iste cum repellendus officia.","2026-06-05 16:02:20","49093000000157090","https://crimesight.ai/activity/882120"
"49093000000167135","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157278","Case Review","Nemo temporibus laborum repellat cumque voluptatum sed odio veniam aut debitis.","2024-12-20 18:54:59","49093000000157150","https://crimesight.ai/activity/714673"
"49093000000167136","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157279","Search Operation","Consequatur omnis dolore tempora perferendis sunt quos voluptatum tempore itaque labore qui facere in.","2025-12-09 20:05:14","49093000000157192","https://crimesight.ai/activity/915564"
"49093000000167137","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157279","Suspect Interrogation","Animi eaque optio quidem similique laborum architecto deserunt sed harum.","2025-06-04 12:03:16","49093000000157057","https://crimesight.ai/activity/288695"
"49093000000167138","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157279","Suspect Interrogation","Facilis perferendis eaque ipsum nemo autem ratione animi facere.","2024-07-24 23:15:17","49093000000157168","https://crimesight.ai/activity/126139"
"49093000000167139","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157279","Crime Scene Visit","Repellat omnis veniam eos libero nihil consectetur nostrum porro.","2026-06-28 05:50:16","49093000000157133","https://crimesight.ai/activity/570536"
"49093000000167140","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157280","Evidence Collection","Neque assumenda consequuntur libero quidem occaecati odit dolore placeat ullam nisi numquam.","2024-08-28 01:12:09","49093000000157170","https://crimesight.ai/activity/475739"
"49093000000167141","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157280","Suspect Interrogation","Ipsa officia occaecati fuga maxime voluptatum sunt quos molestias rem.","2024-12-13 12:34:26","49093000000157162","https://crimesight.ai/activity/567432"
"49093000000167142","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157280","Crime Scene Visit","Reiciendis esse fuga tempore debitis similique voluptatibus tempora aut dolorum.","2024-07-03 05:16:12","49093000000157138","https://crimesight.ai/activity/838447"
"49093000000167143","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157280","Victim Statement","Minima ipsam autem quos perspiciatis saepe sed.","2025-04-07 23:34:02","49093000000157109","https://crimesight.ai/activity/653160"
"49093000000167144","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157280","Forensic Examination","Fugiat non modi quaerat fugit ab corporis distinctio.","2026-06-23 03:55:56","49093000000157126","https://crimesight.ai/activity/107006"
"49093000000167145","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157281","Document Verification","Aliquid voluptatibus non officia nostrum neque sint id rem nisi itaque provident at voluptates molestiae.","2024-12-25 02:44:18","49093000000157117","https://crimesight.ai/activity/740641"
"49093000000167146","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157281","Witness Examination","Nulla dolor suscipit similique dolorem occaecati error voluptas voluptatum temporibus quae quisquam.","2025-02-02 15:00:13","49093000000157158","https://crimesight.ai/activity/712800"
"49093000000167147","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157281","Document Verification","Temporibus quibusdam voluptates exercitationem reprehenderit commodi voluptatibus.","2024-11-10 15:43:30","49093000000157134","https://crimesight.ai/activity/248194"
"49093000000167148","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157281","Witness Examination","Eveniet voluptatum distinctio excepturi perspiciatis quos consequuntur voluptatum voluptatum laboriosam reiciendis.","2025-08-10 09:03:15","49093000000157170","https://crimesight.ai/activity/438972"
"49093000000167149","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157281","Suspect Interrogation","Harum tempora explicabo quo magni labore illum eius.","2026-05-26 22:19:26","49093000000157044","https://crimesight.ai/activity/608737"
"49093000000167150","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157282","CCTV Analysis","Porro blanditiis magnam voluptatum maiores modi exercitationem architecto animi amet sint ipsum numquam molestias in.","2026-04-04 09:30:17","49093000000157077","https://crimesight.ai/activity/721917"
"49093000000167151","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157282","Witness Examination","Sit repellendus sed hic aut ducimus earum molestiae non quas delectus fugiat non ut.","2024-12-17 10:16:57","49093000000157109","https://crimesight.ai/activity/730291"
"49093000000167152","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157282","Search Operation","Accusamus beatae ducimus voluptates aut minus error temporibus.","2025-12-28 07:00:55","49093000000157058","https://crimesight.ai/activity/309909"
"49093000000167153","49093000000013007","2026-06-28 13:44:59:263","2026-06-28 13:44:59:263","49093000000157283","Crime Scene Visit","Quas numquam adipisci quae laborum iste laborum earum incidunt occaecati ipsa.","2025-09-15 13:55:27","49093000000157088","https://crimesight.ai/activity/249646"
"49093000000167154","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157283","Witness Examination","Molestias repellendus necessitatibus quam quas perspiciatis optio repellendus possimus quo beatae reiciendis aperiam est doloremque.","2025-09-07 22:26:24","49093000000157096","https://crimesight.ai/activity/344273"
"49093000000167155","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157283","Victim Statement","Aut ipsa incidunt accusamus tempore quos corrupti soluta fuga hic natus.","2024-11-24 21:21:51","49093000000157040","https://crimesight.ai/activity/388349"
"49093000000167156","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157283","CCTV Analysis","Soluta iusto repudiandae nobis nesciunt recusandae minima error odit officiis veniam.","2026-03-24 21:42:40","49093000000157075","https://crimesight.ai/activity/134967"
"49093000000167157","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157283","Evidence Collection","Dolores dolor magni aut ducimus omnis totam tempore dolores corporis perspiciatis ipsa inventore commodi ratione facere.","2025-08-20 12:26:20","49093000000157051","https://crimesight.ai/activity/300531"
"49093000000167158","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157284","Forensic Examination","Quis magnam itaque minus cum tempora quia dolore qui sed sequi alias recusandae delectus.","2024-09-26 06:28:43","49093000000157118","https://crimesight.ai/activity/140349"
"49093000000167159","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157284","Suspect Interrogation","Modi sint ex velit qui tenetur recusandae molestias rerum similique mollitia.","2025-04-06 08:53:56","49093000000157087","https://crimesight.ai/activity/974712"
"49093000000167160","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157284","Suspect Interrogation","Exercitationem vel enim velit quas deserunt corrupti optio molestias.","2025-01-21 01:19:58","49093000000157181","https://crimesight.ai/activity/461820"
"49093000000167161","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157284","Victim Statement","Unde tempora dolorem magni amet tempore fugiat ad rem.","2025-05-02 09:37:05","49093000000157049","https://crimesight.ai/activity/797227"
"49093000000167162","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157285","Victim Statement","Modi adipisci fuga odio maxime dolore sequi quos perferendis ratione fuga id nulla quisquam repudiandae.","2025-10-03 03:51:32","49093000000157181","https://crimesight.ai/activity/665735"
"49093000000167163","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157285","Search Operation","Maxime nobis vitae possimus expedita ratione voluptatem iure velit.","2024-12-16 02:04:27","49093000000157211","https://crimesight.ai/activity/550472"
"49093000000167164","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157286","Crime Scene Visit","Eos recusandae modi modi porro deleniti totam ratione iusto consequatur enim reiciendis doloremque.","2025-06-02 06:27:22","49093000000157053","https://crimesight.ai/activity/580318"
"49093000000167165","49093000000013007","2026-06-28 13:44:59:264","2026-06-28 13:44:59:264","49093000000157286","Document Verification","Consequatur dicta tenetur vero blanditiis et vel dolor vero nesciunt fugiat inventore iusto voluptatem eius.","2024-11-27 04:52:54","49093000000157124","https://crimesight.ai/activity/559838"
