"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","property_name","property_type","estimated_value","recovered_status","description"
"49093000000153909","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157264","Cash","Jewellery","59721.66","true","Eius praesentium perferendis est culpa voluptate autem dolore."
"49093000000153910","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157264","Laptop","Electronics","317183.8","true","Repellendus similique inventore non aspernatur temporibus minus suscipit iure explicabo."
"49093000000153911","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157265","Cash","Household Item","135126.23","false","Velit architecto quis iure excepturi asperiores quasi sunt dolor repellat excepturi exercitationem."
"49093000000153912","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157265","Documents","Vehicle","35798.92","false","Impedit provident ut quasi sit voluptate tempore."
"49093000000153913","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157267","Television","Documents","336222.55","false","Facilis error quis similique odit in aperiam velit vitae repudiandae."
"49093000000153914","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157267","Laptop","Household Item","400054.54","false","Nam modi nostrum iste molestias itaque sit corporis laboriosam amet."
"49093000000153915","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157267","Laptop","Documents","273112.76","true","Incidunt ut impedit facilis necessitatibus magni iste optio minima sequi."
"49093000000153916","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157268","Mobile Phone","Documents","358057.2","true","Reiciendis suscipit maiores quae autem ad."
"49093000000153917","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157268","Laptop","Vehicle","88508.19","false","Quaerat optio pariatur praesentium voluptate ipsam officia optio fuga veritatis vel quibusdam quod."
"49093000000153918","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157269","Watch","Vehicle","418303.68","false","Non mollitia neque placeat animi et incidunt architecto."
"49093000000153919","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157269","Motorcycle","Household Item","377050.77","true","Nisi similique tenetur iusto architecto perspiciatis maiores dignissimos pariatur veritatis."
"49093000000153920","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157271","Watch","Documents","478522.35","true","Autem quod eius voluptate at amet totam dolorum placeat deleniti illo esse."
"49093000000153921","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157271","Watch","Vehicle","10603.57","false","Magni blanditiis quam explicabo debitis quasi quos repellendus numquam sed dolores."
"49093000000153922","49093000000013007","2026-06-28 13:51:29:309","2026-06-28 13:51:29:309","49093000000157271","Laptop","Electronics","355863.43","true","Qui qui minus ipsam non recusandae."
"49093000000153923","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157272","Watch","Electronics","363174.66","true","Tempore maiores labore adipisci necessitatibus laborum officia aut cum nam."
"49093000000153924","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157273","Watch","Electronics","461500.83","false","Molestiae perspiciatis molestias accusamus doloremque dignissimos assumenda dignissimos totam porro dolores repudiandae."
"49093000000153925","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157273","Motorcycle","Cash","194292.5","true","Ea ut distinctio inventore a optio."
"49093000000153926","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157273","Documents","Electronics","351279.8","true","Hic sit illo id suscipit incidunt."
"49093000000153927","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157274","Laptop","Documents","179600.78","true","Ea repellat non tempora tenetur debitis praesentium a."
"49093000000153928","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157274","Jewellery","Cash","17138.09","false","Animi debitis distinctio eos minima ut optio corrupti expedita delectus."
"49093000000153929","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157275","Cash","Vehicle","52130.04","true","Error perspiciatis quia quidem beatae maiores."
"49093000000153930","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157275","Car","Electronics","240939.12","true","Tenetur sed officiis magnam placeat illo quis natus commodi consequatur impedit."
"49093000000153931","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157276","Television","Household Item","489001.73","true","Neque nemo delectus ipsum minus quod deleniti assumenda quo consequatur consequatur mollitia ab quo."
"49093000000153932","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157277","Jewellery","Vehicle","428179.02","true","Cupiditate quos nemo architecto tenetur nesciunt distinctio iure ratione fugit dicta velit."
"49093000000153933","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157277","Motorcycle","Jewellery","475885.3","false","Dicta in quidem nobis iste impedit placeat vero esse iusto."
"49093000000153934","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157279","Laptop","Vehicle","388746.81","false","Tempore quae rem sapiente facilis fugit officia earum perspiciatis."
"49093000000153935","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157279","Mobile Phone","Electronics","250183.83","false","Iure natus placeat nobis minima pariatur soluta illo minima facere voluptates vitae."
"49093000000153936","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157279","Mobile Phone","Electronics","364769.54","false","Enim numquam cumque similique ex nostrum unde."
"49093000000153937","49093000000013007","2026-06-28 13:51:29:310","2026-06-28 13:51:29:310","49093000000157282","Television","Jewellery","107758.39","true","Provident doloremque quo tenetur quam tenetur corrupti."
"49093000000153938","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157283","Cash","Vehicle","78282.33","true","Culpa eligendi veritatis repellendus odio ex architecto assumenda corrupti."
"49093000000153939","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157283","Gold Chain","Documents","147191.36","true","Laudantium modi modi voluptate neque porro debitis aliquam dolore."
"49093000000153940","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157284","Laptop","Electronics","309889.06","false","Tempora nostrum numquam cum blanditiis voluptates soluta deleniti."
"49093000000153941","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157285","Laptop","Cash","329962.63","false","Doloribus ab vitae est minus maiores consequatur enim."
"49093000000153942","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157285","Jewellery","Documents","311805.15","true","Praesentium nobis possimus accusantium perferendis quas adipisci iure ut."
"49093000000153943","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157286","Jewellery","Jewellery","58429.46","true","Illum velit incidunt quis quam ad vel distinctio cupiditate hic officia."
"49093000000153944","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157287","Television","Documents","481618.26","false","Natus facere quaerat voluptatum dicta aliquid cumque explicabo aliquid."
"49093000000153945","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157287","Laptop","Documents","382471.72","false","Earum ut animi minus deleniti officiis quasi tempora."
"49093000000153946","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157288","Mobile Phone","Household Item","77265.49","true","Illum magni reprehenderit consectetur odio explicabo quas expedita."
"49093000000153947","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157288","Laptop","Jewellery","310682.17","true","Maxime quasi voluptatibus accusamus iusto consectetur laborum."
"49093000000153948","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157289","Jewellery","Documents","443794.93","true","Architecto dicta quia id unde vitae."
"49093000000153949","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157289","Cash","Vehicle","174395.42","false","Quo quae nisi esse voluptatum eveniet consequatur porro illo ipsam molestias minus."
"49093000000153950","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157291","Cash","Jewellery","81090.32","false","At vitae fuga beatae perspiciatis voluptatem minima labore quod."
"49093000000153951","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157292","Motorcycle","Cash","350837.56","false","Iste vero tempore veritatis perferendis numquam voluptate."
"49093000000153952","49093000000013007","2026-06-28 13:51:29:311","2026-06-28 13:51:29:311","49093000000157292","Laptop","Household Item","170182.2","true","Eaque cupiditate saepe beatae exercitationem provident totam magni optio delectus."
"49093000000153953","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157292","Cash","Documents","65116.41","true","Eveniet quasi debitis neque optio enim tempora fugit."
"49093000000153954","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157293","Laptop","Vehicle","335480.13","true","Impedit eum quos voluptates et sint."
"49093000000153955","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157296","Cash","Vehicle","391052.59","false","Corporis cum eligendi cumque voluptatem vel dolorem corporis corrupti vitae."
"49093000000153956","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157297","Laptop","Documents","498859.24","false","Fugiat repellat porro vitae quis accusantium."
"49093000000153957","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157297","Watch","Household Item","122260.28","true","Blanditiis nemo placeat sit quos odit placeat at."
"49093000000153958","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157297","Motorcycle","Jewellery","380533.92","true","Itaque illo quisquam tenetur debitis libero odio nobis eum tempore debitis mollitia perferendis."
"49093000000153959","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157298","Television","Jewellery","280943.32","false","In quas quibusdam recusandae a maxime maiores autem eum dolores atque assumenda odit."
"49093000000153960","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157298","Mobile Phone","Documents","294855.43","true","Eveniet et ipsa itaque veniam occaecati animi maiores provident velit."
"49093000000153961","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157299","Laptop","Vehicle","329556.91","false","Ea libero inventore doloremque nostrum suscipit hic minus voluptatum corrupti quisquam minima tempora."
"49093000000153962","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157299","Laptop","Jewellery","499075.55","false","Eveniet nobis sequi cumque magnam iste cum molestias."
"49093000000153963","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157299","Cash","Cash","327868.22","true","Voluptas dolore similique unde sequi iure quae cum repellat."
"49093000000153964","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157300","Watch","Electronics","111958.65","true","Nulla quos accusamus qui rem quod."
"49093000000153965","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157300","Car","Documents","352787.98","false","Natus eligendi possimus commodi aliquid laborum quaerat esse illo."
"49093000000153966","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157301","Watch","Jewellery","295419.53","false","Dolores amet debitis error harum ipsa."
"49093000000153967","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157301","Cash","Vehicle","487531.73","true","Placeat cum nulla cum animi nihil facilis."
"49093000000153968","49093000000013007","2026-06-28 13:51:29:312","2026-06-28 13:51:29:312","49093000000157302","Mobile Phone","Cash","192827.16","true","Deleniti magni quisquam iure nesciunt odit labore blanditiis unde optio."
"49093000000153969","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157303","Laptop","Vehicle","490628.58","false","Provident sint earum incidunt accusamus assumenda odio consequatur libero at nulla sequi sapiente."
"49093000000153970","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157304","Watch","Vehicle","411387.12","true","Magnam laboriosam aliquid velit amet natus debitis asperiores totam aliquam."
"49093000000153971","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157305","Laptop","Documents","141334.58","false","Nobis delectus iste ut veritatis harum beatae deleniti sequi."
"49093000000153972","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157305","Jewellery","Jewellery","317954.68","true","Quidem veniam alias quo provident alias asperiores possimus unde unde adipisci."
"49093000000153973","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157305","Laptop","Electronics","374621.94","false","Accusamus voluptatem aut placeat eveniet nesciunt iure."
"49093000000153974","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157306","Television","Vehicle","166147.71","false","Accusantium est deleniti debitis laboriosam possimus veritatis voluptatum quidem optio."
"49093000000153975","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157306","Jewellery","Cash","129565.44","false","At natus perferendis similique rerum consequatur a vero rem accusantium."
"49093000000153976","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157307","Mobile Phone","Household Item","63851.57","false","Praesentium quam eum ipsa fugiat blanditiis iure quas impedit deserunt nobis optio."
"49093000000153977","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157307","Television","Documents","2436.38","true","Nemo cupiditate tempore similique praesentium maxime unde."
"49093000000153978","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157308","Laptop","Jewellery","483514.46","true","Perspiciatis vel sapiente in sequi illum facere laboriosam unde error nisi nihil."
"49093000000153979","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157308","Car","Household Item","477917.7","true","Cumque at aspernatur ex labore rem in facere harum accusantium."
"49093000000153980","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157312","Cash","Jewellery","464845.65","false","Neque temporibus voluptatibus ad rerum unde commodi laudantium perferendis inventore laboriosam est."
"49093000000153981","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157312","Documents","Cash","283143.51","true","Beatae perspiciatis rem quos consequatur voluptate dolorum optio libero dicta eveniet sequi sit."
"49093000000153982","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157313","Watch","Jewellery","467926.54","true","Porro sequi recusandae necessitatibus laboriosam blanditiis accusantium libero repellat quibusdam."
"49093000000153983","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157313","Mobile Phone","Household Item","423250.09","true","Dignissimos sint facilis corporis corrupti harum neque minus sed."
"49093000000153984","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157314","Laptop","Electronics","313279.27","false","Odit rerum doloribus quasi sapiente officia necessitatibus explicabo sequi suscipit facilis aspernatur beatae."
"49093000000153985","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157315","Motorcycle","Documents","265575.74","false","Enim consequuntur minima sapiente illo voluptas corrupti libero modi doloremque."
"49093000000153986","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157316","Cash","Documents","205337.27","false","Voluptates laudantium reiciendis assumenda temporibus ipsa nisi vitae."
"49093000000153987","49093000000013007","2026-06-28 13:51:29:313","2026-06-28 13:51:29:313","49093000000157316","Television","Household Item","93879.05","false","Id ullam est eum repellat voluptatibus vel repellat."
"49093000000153988","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157316","Watch","Documents","246629.17","true","Sapiente animi cumque voluptatum repellendus aspernatur in natus necessitatibus ipsa nesciunt inventore unde commodi."
"49093000000153989","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157317","Watch","Jewellery","413648.96","true","Amet molestias porro at id quis eaque rerum atque quos."
"49093000000153990","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157317","Cash","Cash","64028.69","true","Autem tempore recusandae eum accusantium maxime."
"49093000000153991","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157318","Watch","Vehicle","307131.9","false","Aliquam quibusdam odit facere totam labore sequi commodi."
"49093000000153992","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157318","Jewellery","Electronics","22300.63","false","Repellendus cumque distinctio deserunt unde magni ex qui laborum impedit nostrum."
"49093000000153993","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157318","Jewellery","Vehicle","70753.77","false","Minima in aut ipsum error dolores accusamus necessitatibus tempora cumque repellat."
"49093000000153994","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157319","Documents","Documents","433495.5","true","Porro dolore repellat repellendus dignissimos temporibus iusto porro fugiat incidunt quisquam impedit."
"49093000000153995","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157319","Motorcycle","Electronics","227864.91","true","Magnam error dolor iusto expedita eveniet ad vel nesciunt explicabo in eum itaque."
"49093000000153996","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157319","Motorcycle","Electronics","10471.95","false","Maxime voluptate quos alias quas eveniet dolorum quia."
"49093000000153997","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157320","Laptop","Documents","323313.93","true","Quod praesentium esse eveniet nam id illum rerum expedita numquam."
"49093000000153998","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157321","Laptop","Vehicle","423741.91","true","Vel tempora fugit similique nulla pariatur iure nemo non."
"49093000000153999","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157321","Television","Vehicle","451721.53","true","Dolor earum natus laboriosam repudiandae eveniet delectus placeat."
"49093000000154000","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157321","Gold Chain","Electronics","72572.13","true","Iure distinctio eveniet perferendis dolores velit neque repellendus."
"49093000000170001","49093000000013007","2026-06-28 13:51:29:314","2026-06-28 13:51:29:314","49093000000157322","Mobile Phone","Electronics","274126.05","false","Illo iure quis tempora dicta nam."
"49093000000170002","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157322","Motorcycle","Electronics","330632.97","true","Error magnam autem dolorum aliquid voluptates dolorem harum suscipit maxime."
"49093000000170003","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157323","Jewellery","Household Item","190502.85","true","Modi sunt non dolores earum magni beatae repudiandae."
"49093000000170004","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157323","Watch","Electronics","163658.29","false","Fuga unde delectus dolore eos soluta culpa reiciendis molestias."
"49093000000170005","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157324","Cash","Household Item","476113.26","false","Aperiam consequuntur libero iste sint consectetur."
"49093000000170006","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157325","Gold Chain","Jewellery","228504.29","true","Modi amet nemo optio quia ab modi adipisci."
"49093000000170007","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157325","Gold Chain","Jewellery","87422.42","false","Excepturi mollitia alias enim voluptatibus recusandae debitis sequi dolore voluptas corporis sequi cum enim."
"49093000000170008","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157325","Watch","Vehicle","227748.79","false","Et recusandae vitae suscipit est nostrum."
"49093000000170009","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157326","Car","Vehicle","90353.08","false","Dolor deleniti hic dolorem enim repudiandae optio autem culpa incidunt tempora earum similique."
"49093000000170010","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157326","Cash","Electronics","183250.45","false","Iste tempora voluptatem laboriosam quasi saepe vitae vero ipsam id architecto vitae consequatur."
"49093000000170011","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157326","Laptop","Cash","275816.24","false","Sequi provident facere excepturi aliquam repellat tenetur earum."
"49093000000170012","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157328","Documents","Electronics","97653.58","true","Aspernatur itaque corporis iste debitis numquam ipsam."
"49093000000170013","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157328","Documents","Documents","495796.03","false","Dolorem ut nihil reprehenderit nam eligendi vitae nostrum dolorum aspernatur nesciunt atque accusantium."
"49093000000170014","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157328","Car","Electronics","298549.64","true","Sapiente praesentium odio beatae architecto dolore totam vel."
"49093000000170015","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157329","Jewellery","Electronics","475168.61","false","Nihil ullam sunt rem nihil in rerum."
"49093000000170016","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157330","Car","Documents","359158.74","false","Ipsum debitis placeat natus quae exercitationem distinctio non eveniet expedita quasi doloribus laboriosam."
"49093000000170017","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157332","Car","Electronics","244546.32","true","Sit porro provident in facere a maxime ipsa corporis iusto consequuntur."
"49093000000170018","49093000000013007","2026-06-28 13:51:29:315","2026-06-28 13:51:29:315","49093000000157332","Mobile Phone","Documents","293251.75","false","Ducimus quam inventore reprehenderit quibusdam eos veniam."
"49093000000170019","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157333","Car","Cash","16382.92","false","Maiores possimus eos quo eaque ullam."
"49093000000170020","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157333","Mobile Phone","Documents","217715.24","true","Tempore distinctio ratione ea accusamus ab quisquam inventore dignissimos explicabo natus quaerat aperiam."
"49093000000170021","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157336","Television","Cash","411867.81","true","Sapiente adipisci ipsam aliquid tenetur rerum voluptas facere beatae aperiam."
"49093000000170022","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157337","Motorcycle","Vehicle","94342.46","true","Magni ratione ipsum porro iure aut nobis ipsam architecto est ut voluptatem molestias."
"49093000000170023","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157337","Mobile Phone","Electronics","139696.52","false","Distinctio beatae inventore veniam adipisci ut assumenda quos."
"49093000000170024","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157338","Laptop","Cash","140656.31","false","Saepe suscipit reiciendis neque maiores vel ratione voluptates laborum nesciunt corrupti ut."
"49093000000170025","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157339","Documents","Electronics","369099.59","true","Nam repellendus cumque praesentium quis in recusandae excepturi debitis."
"49093000000170026","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157339","Motorcycle","Documents","280006.93","false","Nisi assumenda vero numquam voluptate dolorum iure aliquid aut natus voluptatum ab."
"49093000000170027","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157339","Jewellery","Cash","492612.66","false","Quos dolore facere voluptatum dignissimos veritatis rerum consequuntur numquam sequi voluptates molestiae minus."
"49093000000170028","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157341","Laptop","Household Item","471248.18","false","Eius explicabo maxime pariatur modi repellendus iure."
"49093000000170029","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157341","Jewellery","Cash","399559.05","true","Quos aspernatur sunt occaecati saepe aperiam sit totam nesciunt sapiente illo non."
"49093000000170030","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157341","Cash","Electronics","218747.37","false","Tenetur voluptas in eveniet molestias eligendi tempora voluptatem voluptates quae sit."
"49093000000170031","49093000000013007","2026-06-28 13:51:29:316","2026-06-28 13:51:29:316","49093000000157342","Jewellery","Documents","184928.44","true","Doloribus sint aut tenetur eligendi sint ipsam inventore."
"49093000000170032","49093000000013007","2026-06-28 13:51:29:317","2026-06-28 13:51:29:317","49093000000157343","Documents","Electronics","280622.56","true","Dolorum dolore quia cupiditate magnam reprehenderit ullam natus enim eligendi saepe."
"49093000000170033","49093000000013007","2026-06-28 13:51:29:317","2026-06-28 13:51:29:317","49093000000157343","Laptop","Jewellery","281508.31","false","Consequatur voluptatibus asperiores nihil ab aliquam alias repellat libero."
"49093000000170034","49093000000013007","2026-06-28 13:51:29:317","2026-06-28 13:51:29:317","49093000000157344","Mobile Phone","Cash","145311.3","false","Occaecati aspernatur quisquam id maxime magnam velit veritatis ex enim nulla nihil."
