"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","evidence_type_rowid","evidence_name","description","file_url","collected_by_rowid","collection_datetime","chain_of_custody","forensic_status"
"49093000000157791","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157268","49093000000164380","Document","Minima odio provident provident dolore ea.","https://crimesight.ai/evidence/306298","49093000000157038","2024-10-06 22:39:16","Stored in Evidence Room","Pending"
"49093000000157792","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157269","49093000000164374","Blood Sample","Suscipit a necessitatibus eligendi maiores minus amet quisquam sit recusandae facilis.","https://crimesight.ai/evidence/244671","49093000000157088","2025-11-09 11:00:24","Transferred to FSL","Pending"
"49093000000157793","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157270","49093000000164379","CCTV Footage","Unde ex sequi officia eligendi deserunt sapiente tempore.","https://crimesight.ai/evidence/999084","49093000000157087","2025-07-17 23:18:24","Collected","Completed"
"49093000000157794","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157270","49093000000164374","Laptop","Quis eum corrupti accusantium autem aliquid repellat.","https://crimesight.ai/evidence/198322","49093000000157206","2025-08-15 02:51:12","Transferred to FSL","Completed"
"49093000000157795","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157271","49093000000164375","DNA Sample","Dolores nam consectetur praesentium accusantium possimus impedit sed quia delectus consectetur aperiam repudiandae.","https://crimesight.ai/evidence/376757","49093000000157136","2025-11-20 03:06:28","Stored in Evidence Room","Completed"
"49093000000157796","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157271","49093000000164371","Laptop","Esse doloremque at vitae quam optio vel est culpa laborum odit.","https://crimesight.ai/evidence/188683","49093000000157191","2025-01-21 12:21:24","Collected","Pending"
"49093000000157797","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157271","49093000000164379","Mobile Phone","Animi laborum dolor consectetur tenetur accusamus aut beatae minima ipsum.","https://crimesight.ai/evidence/689381","49093000000157064","2024-12-11 16:48:46","Collected","Not Matched"
"49093000000157798","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157271","49093000000164372","DNA Sample","Natus occaecati a illo distinctio dicta eos animi dolorem.","https://crimesight.ai/evidence/790668","49093000000157035","2025-08-06 14:35:13","Stored in Evidence Room","Pending"
"49093000000157799","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157272","49093000000164373","CCTV Footage","Cupiditate unde libero facere iure minus.","https://crimesight.ai/evidence/963372","49093000000157157","2025-06-12 16:26:33","Collected","Not Matched"
"49093000000157800","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157272","49093000000164380","Blood Sample","Nobis expedita distinctio dolorem doloremque repellendus consectetur.","https://crimesight.ai/evidence/782699","49093000000157202","2026-06-02 04:55:46","Transferred to FSL","Matched"
"49093000000157801","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157272","49093000000164374","Fingerprint Sample","Nostrum debitis hic error tenetur tempora.","https://crimesight.ai/evidence/471696","49093000000157029","2024-08-29 10:05:05","Collected","Pending"
"49093000000157802","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157272","49093000000164372","Knife","Vero repellat nobis quod ducimus rerum vitae et inventore dolor quo quam et.","https://crimesight.ai/evidence/816949","49093000000157106","2026-01-28 23:41:39","Transferred to FSL","Completed"
"49093000000157803","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157273","49093000000164374","Laptop","Consequatur laudantium blanditiis saepe sequi inventore ipsum esse qui.","https://crimesight.ai/evidence/936263","49093000000157098","2025-05-24 22:42:12","Stored in Evidence Room","Matched"
"49093000000157804","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157273","49093000000164373","Knife","Eligendi quidem quidem dolorem molestias facilis.","https://crimesight.ai/evidence/818398","49093000000157126","2024-12-02 23:41:47","Transferred to FSL","Pending"
"49093000000157805","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157273","49093000000164373","Blood Sample","Atque quam atque quibusdam excepturi suscipit nulla vero repellat at inventore.","https://crimesight.ai/evidence/396928","49093000000157151","2025-08-18 17:56:50","Stored in Evidence Room","Under Examination"
"49093000000157806","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157273","49093000000164374","Crime Scene Photograph","Repellendus unde quia beatae alias delectus veniam eos amet tenetur facere occaecati enim numquam.","https://crimesight.ai/evidence/248902","49093000000157078","2025-07-31 03:55:18","Stored in Evidence Room","Completed"
"49093000000157807","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157274","49093000000164373","Crime Scene Photograph","Commodi similique tenetur sapiente atque expedita dolorem totam iure et.","https://crimesight.ai/evidence/709467","49093000000157212","2024-07-30 11:10:33","Transferred to FSL","Completed"
"49093000000157808","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157274","49093000000164373","Blood Sample","Accusamus vitae ducimus ab omnis beatae ad adipisci perferendis modi.","https://crimesight.ai/evidence/821856","49093000000157084","2025-02-26 01:10:29","Collected","Not Matched"
"49093000000157809","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157274","49093000000164378","Knife","Nemo esse molestiae rerum provident id dolores aliquid saepe dignissimos hic cupiditate suscipit.","https://crimesight.ai/evidence/573017","49093000000157055","2026-05-06 18:25:41","Stored in Evidence Room","Not Matched"
"49093000000157810","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157274","49093000000164378","Fingerprint Sample","Voluptas nobis nihil modi aperiam ad voluptates sunt ut.","https://crimesight.ai/evidence/887848","49093000000157183","2024-11-24 13:58:26","Transferred to FSL","Completed"
"49093000000157811","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157275","49093000000164378","DNA Sample","Cupiditate quibusdam iusto nobis labore ea animi totam possimus placeat distinctio.","https://crimesight.ai/evidence/733129","49093000000157171","2025-04-08 19:02:36","Transferred to FSL","Matched"
"49093000000157812","49093000000013007","2026-06-28 13:40:59:191","2026-06-28 13:40:59:191","49093000000157275","49093000000164372","CCTV Footage","Eligendi alias voluptatum suscipit ullam distinctio architecto consequatur.","https://crimesight.ai/evidence/694375","49093000000157060","2025-05-02 23:14:35","Presented in Court","Pending"
"49093000000157813","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157276","49093000000164371","Crime Scene Photograph","Commodi at quas magni perferendis accusamus vitae officiis dolores officiis quod fugit.","https://crimesight.ai/evidence/433546","49093000000157155","2025-07-28 12:14:11","Stored in Evidence Room","Not Matched"
"49093000000157814","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157276","49093000000164378","Fingerprint Sample","Quas sunt possimus dolor veniam velit tenetur blanditiis porro ipsum nostrum.","https://crimesight.ai/evidence/839181","49093000000157047","2025-10-14 04:16:16","Transferred to FSL","Not Matched"
"49093000000157815","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157277","49093000000164378","Document","Minima ut quae possimus atque nam totam.","https://crimesight.ai/evidence/650179","49093000000157144","2025-06-18 20:12:03","Collected","Not Matched"
"49093000000157816","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157278","49093000000164378","Crime Scene Photograph","Provident quisquam distinctio facilis neque iusto ducimus error.","https://crimesight.ai/evidence/756031","49093000000157213","2025-01-29 16:25:49","Transferred to FSL","Pending"
"49093000000157817","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157278","49093000000164372","Crime Scene Photograph","Quisquam atque aut voluptatem ipsam dolor soluta optio libero repellat doloribus a quos.","https://crimesight.ai/evidence/349712","49093000000157116","2025-08-15 08:15:37","Transferred to FSL","Under Examination"
"49093000000157818","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157279","49093000000164375","Crime Scene Photograph","Sapiente nobis eius corporis reprehenderit nemo occaecati optio quo.","https://crimesight.ai/evidence/416191","49093000000157190","2026-04-24 21:25:03","Stored in Evidence Room","Matched"
"49093000000157819","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157280","49093000000164379","Document","Temporibus optio temporibus cumque quo iure ducimus hic accusamus excepturi perferendis.","https://crimesight.ai/evidence/420922","49093000000157150","2024-10-01 19:34:36","Collected","Completed"
"49093000000157820","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157280","49093000000164377","Mobile Phone","Eligendi cum quae minima quisquam consequuntur fuga.","https://crimesight.ai/evidence/170447","49093000000157123","2025-05-20 22:27:48","Presented in Court","Completed"
"49093000000157821","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157280","49093000000164379","Blood Sample","Eligendi recusandae omnis provident excepturi soluta omnis laudantium voluptas explicabo dolore illo.","https://crimesight.ai/evidence/746043","49093000000157070","2025-05-29 05:12:17","Transferred to FSL","Under Examination"
"49093000000157822","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157280","49093000000164378","Vehicle","Quasi deleniti praesentium ratione earum debitis illum.","https://crimesight.ai/evidence/617400","49093000000157193","2026-02-03 12:49:52","Stored in Evidence Room","Not Matched"
"49093000000157823","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157281","49093000000164379","DNA Sample","Doloremque beatae dolores ipsam doloremque omnis.","https://crimesight.ai/evidence/131758","49093000000157122","2024-09-03 14:05:09","Presented in Court","Completed"
"49093000000157824","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157282","49093000000164379","Laptop","Vero minima veritatis nihil adipisci mollitia ducimus perspiciatis iure sint molestiae nobis eveniet.","https://crimesight.ai/evidence/922409","49093000000157195","2025-07-11 01:20:46","Collected","Matched"
"49093000000157825","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157282","49093000000164373","Laptop","Id laborum asperiores dolores provident nobis voluptatem beatae ducimus dignissimos aut.","https://crimesight.ai/evidence/746961","49093000000157052","2026-01-18 06:35:17","Presented in Court","Matched"
"49093000000157826","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157283","49093000000164379","CCTV Footage","Laudantium aliquid cum quaerat asperiores autem ab asperiores nostrum animi eos dolorum repudiandae iusto.","https://crimesight.ai/evidence/540801","49093000000157187","2025-11-04 19:46:00","Collected","Not Matched"
"49093000000157827","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157284","49093000000164376","DNA Sample","Repudiandae adipisci libero illum suscipit sequi placeat provident voluptates suscipit.","https://crimesight.ai/evidence/633932","49093000000157136","2024-11-05 09:13:21","Stored in Evidence Room","Completed"
"49093000000157828","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157284","49093000000164378","Blood Sample","Suscipit repudiandae mollitia quibusdam nostrum blanditiis sequi quod neque veritatis laudantium.","https://crimesight.ai/evidence/790539","49093000000157131","2025-02-24 20:04:00","Collected","Pending"
"49093000000157829","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157284","49093000000164372","Mobile Phone","Quidem pariatur maxime odit harum dolorum provident ad itaque corporis.","https://crimesight.ai/evidence/557010","49093000000157058","2025-03-31 22:34:11","Stored in Evidence Room","Not Matched"
"49093000000157830","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157285","49093000000164373","Blood Sample","Quia nihil eum qui perspiciatis id asperiores provident amet dolore sed.","https://crimesight.ai/evidence/939323","49093000000157160","2026-06-22 13:53:57","Stored in Evidence Room","Under Examination"
"49093000000157831","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157286","49093000000164377","Blood Sample","Officiis animi odio deserunt sint sint eius dolores fugit ex doloremque.","https://crimesight.ai/evidence/334826","49093000000157088","2026-02-11 22:46:38","Presented in Court","Matched"
"49093000000157832","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157286","49093000000164373","Crime Scene Photograph","Sed dolor illum a ipsa deleniti.","https://crimesight.ai/evidence/743461","49093000000157167","2025-05-25 07:20:03","Stored in Evidence Room","Not Matched"
"49093000000157833","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157286","49093000000164377","Knife","Quia qui facilis quidem adipisci laborum expedita beatae.","https://crimesight.ai/evidence/808717","49093000000157166","2026-06-10 07:29:27","Presented in Court","Not Matched"
"49093000000157834","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157287","49093000000164374","Crime Scene Photograph","Aliquam provident nemo temporibus ducimus est perspiciatis ipsam et autem explicabo fuga.","https://crimesight.ai/evidence/982227","49093000000157181","2025-03-28 16:14:56","Stored in Evidence Room","Not Matched"
"49093000000157835","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157287","49093000000164374","Document","Eos fugit accusamus quam assumenda amet dolorem ea.","https://crimesight.ai/evidence/679540","49093000000157140","2024-07-21 20:32:42","Collected","Pending"
"49093000000157836","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157287","49093000000164374","DNA Sample","Ratione cupiditate assumenda magni assumenda iste suscipit omnis vero corrupti est.","https://crimesight.ai/evidence/859934","49093000000157122","2024-12-26 05:53:21","Collected","Under Examination"
"49093000000157837","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157288","49093000000164371","DNA Sample","Eaque quaerat quasi nesciunt asperiores id aut.","https://crimesight.ai/evidence/883066","49093000000157196","2025-12-11 23:21:33","Collected","Matched"
"49093000000157838","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157288","49093000000164378","Vehicle","Iusto exercitationem beatae necessitatibus quasi excepturi eaque cumque dolorem iste ullam ipsam quasi.","https://crimesight.ai/evidence/384776","49093000000157097","2024-11-24 19:58:08","Transferred to FSL","Not Matched"
"49093000000157839","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157289","49093000000164380","Blood Sample","Perspiciatis recusandae numquam mollitia enim veritatis officia ad error dolorum quas suscipit officiis.","https://crimesight.ai/evidence/643930","49093000000157120","2024-07-07 04:39:58","Stored in Evidence Room","Completed"
"49093000000157840","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157289","49093000000164374","Knife","Earum cumque perspiciatis dolor laborum officiis.","https://crimesight.ai/evidence/181872","49093000000157047","2025-11-17 09:45:31","Transferred to FSL","Pending"
"49093000000157841","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157289","49093000000164373","DNA Sample","Dolorum laboriosam ex eligendi quis fugiat similique reiciendis.","https://crimesight.ai/evidence/387706","49093000000157031","2025-06-25 12:30:32","Stored in Evidence Room","Matched"
"49093000000157842","49093000000013007","2026-06-28 13:40:59:192","2026-06-28 13:40:59:192","49093000000157290","49093000000164380","Document","Neque unde quidem voluptatum provident aliquam dicta repellat ipsum.","https://crimesight.ai/evidence/763764","49093000000157198","2025-11-16 00:58:14","Transferred to FSL","Under Examination"
"49093000000157843","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157291","49093000000164379","Vehicle","Veritatis commodi nulla ut aut itaque deleniti voluptatum.","https://crimesight.ai/evidence/571909","49093000000157043","2025-07-18 15:11:21","Transferred to FSL","Pending"
"49093000000157844","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157291","49093000000164378","Document","Nobis nisi quae non ducimus culpa qui cumque atque odio saepe modi.","https://crimesight.ai/evidence/333992","49093000000157113","2025-02-12 23:14:14","Presented in Court","Completed"
"49093000000157845","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157291","49093000000164376","Crime Scene Photograph","Atque placeat explicabo ratione sunt optio quis sequi consectetur odit iure.","https://crimesight.ai/evidence/488555","49093000000157212","2025-10-01 12:03:21","Transferred to FSL","Pending"
"49093000000157846","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157291","49093000000164380","Mobile Phone","Quae hic deleniti fuga impedit alias explicabo odit.","https://crimesight.ai/evidence/546262","49093000000157043","2026-06-10 12:35:59","Presented in Court","Not Matched"
"49093000000157847","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157292","49093000000164372","Fingerprint Sample","Expedita facere nesciunt consectetur blanditiis sed sapiente possimus nam a.","https://crimesight.ai/evidence/572420","49093000000157189","2024-07-11 09:49:51","Transferred to FSL","Not Matched"
"49093000000157848","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157292","49093000000164374","CCTV Footage","Laudantium repellat accusantium tenetur ipsum delectus nemo placeat illo enim harum minima.","https://crimesight.ai/evidence/734412","49093000000157064","2025-12-16 16:50:27","Transferred to FSL","Pending"
"49093000000157849","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157292","49093000000164374","Crime Scene Photograph","Temporibus rerum suscipit voluptates soluta consectetur ex.","https://crimesight.ai/evidence/624144","49093000000157202","2024-11-28 22:16:19","Presented in Court","Completed"
"49093000000157850","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157293","49093000000164374","DNA Sample","Qui in maxime architecto facere quis harum repellat error.","https://crimesight.ai/evidence/511655","49093000000157146","2025-02-23 16:22:39","Stored in Evidence Room","Under Examination"
"49093000000157851","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157293","49093000000164372","Document","Quis corrupti ipsam necessitatibus odio ut totam ipsam.","https://crimesight.ai/evidence/637084","49093000000157168","2025-03-23 06:02:52","Stored in Evidence Room","Completed"
"49093000000157852","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157294","49093000000164379","Mobile Phone","Suscipit sequi officia tempore animi distinctio debitis esse nam.","https://crimesight.ai/evidence/892960","49093000000157176","2025-04-10 17:38:11","Collected","Pending"
"49093000000157853","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157294","49093000000164372","Document","Officiis alias nobis modi totam facilis exercitationem cumque ad.","https://crimesight.ai/evidence/213756","49093000000157181","2026-02-08 00:02:52","Collected","Not Matched"
"49093000000157854","49093000000013007","2026-06-28 13:40:59:193","2026-06-28 13:40:59:193","49093000000157295","49093000000164380","CCTV Footage","Odio consequuntur illum maiores reprehenderit quo reiciendis nisi iste deleniti.","https://crimesight.ai/evidence/480080","49093000000157170","2024-09-03 10:40:23","Stored in Evidence Room","Matched"
